interviewee,role,speaker,line_number,sentence
Lauren,interviewee,Lauren,16,Um… hmm.
Lauren,interviewee,Lauren,16,I think sometimes like editing it can be a little finicky.
Lauren,interviewee,Lauren,16,"Like, like it's not always easy to edit sometimes—like editing certain things."
Lauren,interviewee,Lauren,16,"Like, or the fact that you need Pro to do other things when you don't have it, which is like, I guess, on me for not getting it, but I don't want to buy it."
Lauren,interviewee,Lauren,16,"And at least at the beginning, it was a learning curve to share it and like figure out where to locate shared documents or shared flyers when we were like collaborating on documents together."
Lauren,interviewer,D,17,I see.
Lauren,interviewer,D,17,So what are some changes or improvements that you think Canva could make to fit your needs better?
Lauren,interviewee,Lauren,18,I mean like… I can't think of any off the top of my head that aren't like fixable just by me myself.
Lauren,interviewee,Lauren,18,"Like, like the sharing thing, it was like—I guess like just maybe organizationally making that easier to find on the homepage."
Lauren,interviewee,Lauren,18,But otherwise it's like literally just me not wanting to get Pro.
Lauren,interviewee,Lauren,18,And so… yeah.
Lauren,interviewer,D,19,Great.
Lauren,interviewer,D,19,Okay.
Lauren,interviewer,D,19,"Um, and then you're a college student now, but have you used Canva in other educational periods of your life and has your interaction and engagement with Canva changed at all?"
Lauren,interviewee,Lauren,20,"Um, yes, I have."
Lauren,interviewee,Lauren,20,I used it in high school for similar purposes.
Lauren,interviewee,Lauren,20,"Even outside of school, I was part of a committee that was doing like organizing donations, so I used it for that, like flyers and presentations."
Lauren,interviewee,Lauren,20,"I've used it for both of those before, outside of college."
Lauren,interviewee,Lauren,20,But it hasn't really like—I don't think the way I've interacted with it has changed much.
Lauren,interviewer,D,21,"Okay, cool."
Lauren,interviewer,D,21,"Um, are there any other kind of qualms you have, or maybe good things about Canva that you want to point out, or anything that you want to touch on that I haven't asked you about?"
Lauren,interviewee,Lauren,22,No.
Lauren,interviewer,D,23,"Okay, great."
Lauren,interviewer,D,23,"Thank you so much, Lauren."
Erin,interviewer,Danielle,1,"Okay, tell us a bit about yourself."
Erin,interviewee,Erin,2,"Yeah, I'm Erin."
Erin,interviewee,Erin,2,I am 22 years old.
Erin,interviewee,Erin,2,"I just recently graduated from college, and right now I'm currently working as a research assistant and I'm also studying for an entrance exam for grad school."
Erin,interviewer,Danielle,3,Do you currently use Canva?
Erin,interviewee,Erin,4,"I'm currently not using Canva, but I have used it in the past."
Erin,interviewer,Danielle,5,"And when you did use Canva, did you ever use the pro plan?"
Erin,interviewee,Erin,6,"I did not, no."
Erin,interviewer,Danielle,7,"So, can you tell me about when and why you first started using Canva and what you mainly used it for?"
Erin,interviewee,Erin,8,"Yeah, I think I mainly started using Canva in college, and it was mostly to create flyers for club events and things of that sort."
Erin,interviewee,Erin,8,"I also remember using Canva because they had presentation templates as well, so I used Canva for some projects."
Erin,interviewer,Danielle,9,"And when did you stop using Canva, and what changed that led you to stop using it or use it less often?"
Erin,interviewee,Erin,10,"I stopped using Canva because I graduated from school, and so there's not really a need for me to be creating flyers or club materials anymore since I'm no longer involved with those organizations."
Erin,interviewer,Danielle,11,"When you were using Canva in college, were you aware of the Canva Education platform and its features, as well as Canva for Campus and the partnerships with universities across the U.S.?"
Erin,interviewee,Erin,12,"I have not heard of those plans, no."
Erin,interviewer,Danielle,13,Were there any particular challenges or frustrations that made Canva harder to use or less valuable for you?
Erin,interviewee,Erin,14,I didn't find Canva to be particularly challenging to use.
Erin,interviewee,Erin,14,I found the usability of the website to be very easy and suited my needs when I needed to create a graphic quickly.
Erin,interviewer,Danielle,15,"But if you were to point out any pain points, what would you bring up?"
Erin,interviewee,Erin,16,I think one of the pain points was when I was looking for certain graphics or icons.
Erin,interviewee,Erin,16,You weren’t able to sort between the Pro icons and the free plan.
Erin,interviewee,Erin,16,"So if there was a way to filter between those two for icons, that would be helpful when looking for graphics I could actually use."
Erin,interviewer,Danielle,17,And have you started using any other tools instead of Canva now that you’ve dropped off the platform?
Erin,interviewer,Danielle,17,"If yes, what do they offer that Canva didn’t?"
Erin,interviewee,Erin,18,I'm not using any graphic-making websites at the moment.
Erin,interviewer,Danielle,19,"It could also be digital materials in general—presentations, resume-building websites, any platform."
Erin,interviewee,Erin,20,"For my resume, I typically just use Word or Google Docs."
Erin,interviewee,Erin,20,"I don’t need to be designing or adding icons, so there’s not a need for a site like Canva for that."
Erin,interviewee,Erin,20,"As for presentations or projects, I haven't had to make anything that warrants a website like Canva."
Erin,interviewee,Erin,20,"If I need to create a presentation, I typically use PowerPoint or Google Slides."
Erin,interviewer,Danielle,21,And can you articulate why you fall back on those platforms now that you're out of college?
Erin,interviewee,Erin,22,I think it's mostly because it's built into what I typically use.
Erin,interviewee,Erin,22,I’m very comfortable with Google Drive because I've used it throughout my education.
Erin,interviewee,Erin,22,"In college, we used Microsoft applications like Word, PowerPoint, and OneDrive, so I’m comfortable with those."
Erin,interviewee,Erin,22,"Also, the people I work with on my research project use those applications too, so it's easy to collaborate since everyone already has institutional access."
Erin,interviewer,Danielle,23,Cool.
Erin,interviewer,Danielle,23,So what university did you graduate from?
Erin,interviewee,Erin,24,I graduated from Emory.
Erin,interviewer,Danielle,25,"And Emory is a Canva for Campus partner, I believe."
Erin,interviewer,Danielle,25,"Did you ever hear of any of your peers, professors, or clubs utilizing Canva for Campus?"
Erin,interviewee,Erin,26,"I know that a few organizations used an upper level of Canva, but I'm not sure if that was directly related to the Canva for Campus plan."
Erin,interviewer,Danielle,27,What would convince you to come back to using Canva in the future?
Erin,interviewer,Danielle,27,"Or why might you come back, if you foresee it happening?"
Erin,interviewee,Erin,28,"Right now there’s just not a need for me to use an application like Canva, because I’m not creating high-level graphics or documents that require design elements like icons or photographs."
Erin,interviewee,Erin,28,"If I ever needed something that required more design, I might return to Canva."
Erin,interviewer,Danielle,29,Great.
Erin,interviewer,Danielle,29,"Is there anything else you'd like to touch on in terms of difficulties you find, or about the transition from college to newly graduated life?"
Erin,interviewee,Erin,30,"Not particularly, no."
Erin,interviewer,Danielle,31,"Okay, great."
Erin,interviewer,Danielle,31,Thanks.
Michelle,interviewer,Frank,1,Let's get started.
Michelle,interviewer,Frank,1,How long have you been using Canva?
Michelle,interviewee,Michelle,2,I started using Canva as a freshman in high school.
Michelle,interviewee,Michelle,2,That's probably year 5 or year 6 now.
Michelle,interviewer,Frank,3,How were you introduced to Canva?
Michelle,interviewee,Michelle,4,"I was in student council in high school, and they told me I had to make a flyer for the first time as a freshman."
Michelle,interviewee,Michelle,4,"I needed to find out how to make flyers, and then I realized Canva existed."
Michelle,interviewee,Michelle,4,It was probably other students or a teacher who told me.
Michelle,interviewee,Michelle,4,I didn't have Canva Pro at that point.
Michelle,interviewer,Frank,5,When did you get Canva Pro?
Michelle,interviewee,Michelle,6,"I was a sophomore or a junior when my student council advisor, the student activities manager, figured out that you could do a classroom."
Michelle,interviewee,Michelle,6,She gave all of us the Canva code so we could be on her classroom.
Michelle,interviewer,Frank,7,How frequent would you say your use for Canva is?
Michelle,interviewee,Michelle,8,"In different stages of my life, it's been different."
Michelle,interviewee,Michelle,8,"My junior year, I was secretary for student council, and all I did was make flyers, so I made more than one every week."
Michelle,interviewee,Michelle,8,Now I make about one or two flyers a week.
Michelle,interviewer,Frank,9,What's your major?
Michelle,interviewer,Frank,9,Do you do any design-related stuff?
Michelle,interviewee,Michelle,10,"No, my major's Economics and Global Affairs."
Michelle,interviewer,Frank,11,"So when you go to the professional world, you probably wouldn't be looking at roles like social media manager or design-heavy positions?"
Michelle,interviewee,Michelle,12,Probably not.
Michelle,interviewer,Frank,13,"When you used Canva before to make those flyers, what drove you to use Canva?"
Michelle,interviewer,Frank,13,What made you stay?
Michelle,interviewee,Michelle,14,I'm not a graphic design person.
Michelle,interviewee,Michelle,14,Those people gravitate towards Adobe or Creative Cloud.
Michelle,interviewee,Michelle,14,"For me, with no experience, that's too technical."
Michelle,interviewee,Michelle,14,Canva is great because you can get somewhat technical with experience—background remover and other features—but it's still user-friendly.
Michelle,interviewee,Michelle,14,"I just play around with it, and that's all the training I need."
Michelle,interviewer,Frank,15,Do you see yourself using Canva more or less in the future?
Michelle,interviewee,Michelle,16,"I really like nonprofits, and they use it a lot even if you're not a design person."
Michelle,interviewee,Michelle,16,"For example, I interned with my El Paso Community Foundation two summers ago."
Michelle,interviewee,Michelle,16,"I didn't go in for graphic design, but when they found out I could make a flyer, that's all I was doing."
Michelle,interviewee,Michelle,16,"It's not my experience or interest, but it comes with the kind of work I'm interested in—nonprofit work or smaller local organizations."
Michelle,interviewer,Frank,17,"So the biggest value Canva provides you is that it's easy to use, and since you're not a graphic design-type person, you can still make things look good and aesthetic?"
Michelle,interviewee,Michelle,18,Yes.
Michelle,interviewee,Michelle,18,I also like how many pre-made designs they have.
Michelle,interviewee,Michelle,18,There's no barrier to entry.
Michelle,interviewee,Michelle,18,"Once you get more familiar with it, you can look through designs for ideas, replicate them, and change what you want."
Michelle,interviewee,Michelle,18,I'm not limited to what they have but can still take ideas.
Michelle,interviewer,Frank,19,Have you ever used any other designing software like Figma?
Michelle,interviewee,Michelle,20,No.
Michelle,interviewee,Michelle,20,"I might have tried one once, and I didn't like it."
Michelle,interviewee,Michelle,20,I don't remember why.
Michelle,interviewee,Michelle,20,"It must have been not as easy, and I never went back."
Michelle,interviewer,Frank,21,"When I was using Canva, one frustration was transferring from one school account to another."
Michelle,interviewer,Frank,21,I couldn't bulk copy my templates.
Michelle,interviewer,Frank,21,Did that happen to you?
Michelle,interviewee,Michelle,22,No.
Michelle,interviewee,Michelle,22,I always used my Gmail because I knew my high school account would be deleted.
Michelle,interviewee,Michelle,22,"I never used my school district account for Canva, Quizlet, or other things."
Michelle,interviewer,Frank,23,"When you went to Yale, did you continue using your personal Gmail?"
Michelle,interviewee,Michelle,24,"For emails, I use my Yale account."
Michelle,interviewee,Michelle,24,"For accounts not connected to other people, I use my Gmail."
Michelle,interviewee,Michelle,24,It keeps my Yale inbox cleaner.
Michelle,interviewer,Frank,25,"When you're using Canva, did you have any frustrations?"
Michelle,interviewee,Michelle,26,I haven't run into anything that frustrates me.
Michelle,interviewee,Michelle,26,"If I wanted to transfer designs, that might be frustrating, but I've never needed to do that."
Michelle,interviewer,Frank,27,What do you think Canva could do better?
Michelle,interviewer,Frank,27,Is there a feature that could be improved or added?
Michelle,interviewee,Michelle,28,Maybe a training feature.
Michelle,interviewee,Michelle,28,I've had to mess around with things until I figured them out.
Michelle,interviewee,Michelle,28,"Maybe they do have a training thing, and I haven't looked at it, but a crash course or option to revisit it would be helpful."
Michelle,interviewee,Michelle,28,"For example, I didn't discover the background remover until year 3 or 4."
Michelle,interviewee,Michelle,28,It would have been useful to know earlier.
Liv,interviewer,Navaa,1,"So, first tell us a bit about yourself."
Liv,interviewer,Navaa,1,"Name, age, job."
Liv,interviewer,Navaa,1,What do you do with your with your time?
Liv,interviewee,Liv,2,My name's Liv Amiri.
Liv,interviewee,Liv,2,I'm 19 years old.
Liv,interviewee,Liv,2,"Oh, it's my birthday, actually."
Liv,interviewee,Liv,2,"Right now, I'm unemployed."
Liv,interviewee,Liv,2,I am a student.
Liv,interviewee,Liv,2,"Previously, I've been employed for a PR company, and I've also worked as a museum docent."
Liv,interviewee,Liv,2,"Um, I currently am a freshman at Yale University and I do a lot of humanities stuff."
Liv,interviewer,Navaa,3,Would you say that you are a current user of Canva or that you don't tend to use it at all?
Liv,interviewee,Liv,4,"I would say that over the summer I used Canva and now I have stopped because there hasn't been any projects that I've worked on, but if there was a project that called for it, I would use it."
Liv,interviewer,Navaa,5,Got it.
Liv,interviewer,Navaa,5,"So, can you tell me about when and why you first started using Canva and what you used it for?"
Liv,interviewer,Navaa,5,"Um, I started using Canva probably in the 8th grade for mostly science classes for labs."
Liv,interviewer,Navaa,5,"Um, we would organize our lab data and everything in Canva."
Liv,interviewer,Navaa,5,So that's how we would present it and that's how we would turn it in.
Liv,interviewer,Navaa,5,"And then also as I got older for English and history classes, when we needed to do a poster or a kind of slideshow base thing or make a graphic."
Liv,interviewer,Navaa,5,"We would use Canva also for clubs, for recruitment and events and stuff."
Liv,interviewer,Navaa,6,"Okay, so it sounds like your school definitely had some version of like Canva for education subscription."
Liv,interviewer,Navaa,6,Can you just like talk me through what specific plan your school had?
Liv,interviewee,Liv,7,"Um, I'm not sure what specific one."
Liv,interviewee,Liv,7,"I know that our email address allowed us to have like Canva, like a Canva premium, and also like Adobe, all the adobe tools, like Photoshop and stuff."
Liv,interviewee,Liv,7,"Um, and like a bunch of other also film stuff, like Blender and other film editing tools."
Liv,interviewee,Liv,7,So we got like a lot of subscriptions to different things.
Liv,interviewee,Liv,7,"It's probably a plan through the school where just every student, like they make an agreement with the company and every student gets access through that email until they graduate."
Liv,interviewer,Navaa,8,"And when you say you submitted things from your science classes, like on Canva, was that partnering or like through some kind of like, like cross-platform collaboration with like a learning management platform, like Schoology, canvas, stuff like that?"
Liv,interviewer,Navaa,8,Or was it directly on the canva platform?
Liv,interviewee,Liv,9,"Um, so I would share it with the teacher on the Canva platform, but I would also often submit it in Google Classroom or our black bod program, which had like a lot of our assignments, but yeah, and then when I was working on it with other people, we would work on it in Canada and I would share it with them by email."
Liv,interviewee,Liv,9,So it'd be through Google.
Liv,interviewer,Navaa,10,"When did you stop using Canva, and what changed that led you to stop using Canva, or use it less often?"
Liv,interviewee,Liv,11,I'd say that the most helpful thing about Canva is making it very easy to make graphics and like flyers and stuff like that.
Liv,interviewee,Liv,11,"And I think that during the college prep process, I was in a lot of things where that was required."
Liv,interviewee,Liv,11,"I was an event planner for a certain club and also for my PR company, I would use Canva."
Liv,interviewee,Liv,11,I think I stopped using it because here a lot of my classes don't call for design or recruitment posters.
Liv,interviewer,Navaa,12,"And when you did use Canva, what were your biggest pain points with the platform?"
Liv,interviewee,Liv,13,I used it for I had my own poetry in an art magazine that was online.
Liv,interviewee,Liv,13,And the entire thing was formatted through Canva.
Liv,interviewee,Liv,13,"Um, I will say sometimes it was difficult mass formatting, like if a magazine is 20 pages versus one flyer."
Liv,interviewee,Liv,13,It's harder to streamline a design on multiple pages.
Liv,interviewee,Liv,13,"I think that, It's a little difficult, the layout of the website."
Liv,interviewee,Liv,13,"Like, it's not very user-friendly in the sense that all the tools are just like kind of weirdly laid out, and over time, you get familiar with it, but I'd say like a program, like the way Photoshop is designed, it's a lot easier to understand what certain things do immediately rather than playing with it and figuring it out."
Liv,interviewee,Liv,13,"Like, you immediately kind of know what the tools do."
Liv,interviewee,Liv,13,So it's a little harder in that way.
Liv,interviewer,Navaa,14,"And did you find yourself, like, using alternative tools like Photoshop or the adobe ecosystem or like other things of that nature?"
Liv,interviewer,Luv,15,"Yeah, I think that Canva has a lot of limitations, like for that magazine, if I was having to alter a piece of art, I can't really do that in canva, so I would use Indesign."
Liv,interviewer,Luv,15,It's a lot more detail oriented.
Liv,interviewer,Luv,15,I don't think Canva is very detail oriented.
Liv,interviewer,Luv,15,It's very nice in the sense that it has all of these cutouts and fonts and preset designs and stuff.
Liv,interviewer,Luv,15,"But if you really want to do that detailed work on a graphic itself, I think that calls for Indesign or Photoshop, if it's at a higher level."
Liv,interviewer,Luv,15,It's not very professional.
Liv,interviewer,Navaa,16,Got it.
Liv,interviewer,Navaa,16,"Um, and were there any challenges or frustrations that made Canva less valuable for you specifically?"
Liv,interviewee,Liv,17,"No, I just outgrew it a little bit."
Liv,interviewee,Liv,17,"I do think it's very helpful when you're doing stuff for school or like for a club or maybe even just if you're making a flyer for a party or something, like that."
Liv,interviewee,Liv,17,"But when you get to professional things, I think it calls for a more refined tool."
Liv,interviewer,Navaa,18,"And for those more professional roles or maybe high-level roles that you might occupy now, have you started using any other tools that aren't Canva?"
Liv,interviewer,Navaa,18,"And if yes, what do they offer for those specific needs that you might have now that Canva didn't?"
Liv,interviewee,Liv,19,"As of now, I just think the AI editing things and editing softwares and apps are pretty interesting, and I might turn to that before I use Canva."
Liv,interviewee,Liv,19,"I mean, now I don't really have any design responsibilities, but I think that if I do get a design responsibility, I'm going to use like a Photoshop."
Liv,interviewee,Liv,19,"And then, you know, maybe check out AI before I go back to Canva, but if it's just making a poster, then I would use Canva."
Liv,interviewer,Navaa,20,"Got it, okay."
Liv,interviewer,Navaa,20,"And what would make you consider coming back to Canva, aside from like what you just listed?"
Liv,interviewee,Liv,21,"I think if it incorporated more AI, if it had an AI option, I think that'd be kind of cool."
Liv,interviewee,Liv,21,"If there's not a preset that you like, you can even tell the AI, like, hey, I kind of want this kind of layout with this vibe and these components."
Liv,interviewee,Liv,21,"Even though it has so many presets, if there's something you have specific that you're looking for, I think would be cool for it to be able to generate that."
Liv,interviewee,Liv,21,"I think with the layout of the tools that if you hover over, like, I like that in Photoshop, it tells you what it does."
Liv,interviewee,Liv,21,I don't know if that's the thing in Canva.
Liv,interviewee,Liv,21,"But what I do like about Canva, I will say, is when you put input a photo, it puts all of your photos that you've imported in one area."
Liv,interviewee,Liv,21,I wish that other apps had that.
Liv,interviewee,Liv,21,I don't really know if you can edit the photos in Canada.
Liv,interviewee,Liv,21,That might be a cool addition.
Liv,interviewee,Liv,21,There's not a ton of like alterations you can make to the actual things you're importing.
Liv,interviewee,Liv,21,And I think that that would be helpful.
Queena,interviewee,Queena,1,"Um, that I… that I use quite a lot."
Queena,interviewee,Queena,1,"So that… That's why I used Canva for the, um, text feature, but I wasn't really able to edit much."
Queena,interviewee,Queena,1,"I think it might be because of the layering option, or I… it just felt, like, really laggy when I was using it."
Queena,interviewer,Frank,2,"Oh, for video editing?"
Queena,interviewee,Queena,3,Yeah.
Queena,interviewee,Queena,3,"Yeah, for video editing."
Queena,interviewer,Frank,4,"Mmm, okay."
Queena,interviewer,Frank,4,"Oh, okay."
Queena,interviewer,Frank,4,Cool.
Queena,interviewee,Queena,5,"And… let me see, I don't think I could import a very long video and… make it background transparent, which was one of the downsides."
Queena,interviewee,Queena,5,"Like, I wish they could allow me to upload, like, infinite amount of time, like… Final Cut Pro, they don't… they don't put a cap on how much time you import, like, the footage."
Queena,interviewee,Queena,5,"So… but I don't know if it's because of the way they operate, if they put it into cloud, and it's too much storage for them, or something, but… Yeah, for our user's perspective, we don't really think that much."
Queena,interviewee,Queena,5,"We're just like, oh, it's not allowing me to, I'm switching to another software."
Queena,interviewer,Frank,6,"Yeah, exactly."
Queena,interviewer,Frank,6,"Um, so… Just to get a better overview."
Queena,interviewer,Frank,6,"What are some of the other apps or features as a designer, as a student, that you've used alongside Canva?"
Queena,interviewer,Frank,6,"or you think are similar to Canva, or you… like, think could replace Canva."
Queena,interviewee,Queena,7,"Um, one of them, I would say, I actually… oh yeah, before I paid the subscription for… for the Canva, I would… I would go to about it this way."
Queena,interviewee,Queena,7,I would use my iPad to draw it myself.
Queena,interviewee,Queena,7,"Like, I would reference the template that Canva has."
Queena,interviewee,Queena,7,Template is such a strong asset in Canva.
Queena,interviewee,Queena,7,Because of how professional it looks for some of them.
Queena,interviewee,Queena,7,"And then I would just draw it, like, using the same shape, same color, and then I would draw it onto, like, um… That's like, what is it called?"
Queena,interviewee,Queena,7,Let me see.
Queena,interviewee,Queena,7,I think Procreate.
Queena,interviewee,Queena,7,That's… that's what it's.
Queena,interviewee,Queena,7,"Um, I feel like… Procreate is so nice if you want to, like, hand draw stuff, it's really nice."
Queena,interviewee,Queena,7,"And also, yeah, I use Canva for thumbnail making for YouTube videos."
Queena,interviewee,Queena,7,"And sometimes I want to add those, like, hand-drawn details to make it look a bit more, you know, handmade, personal."
Queena,interviewee,Queena,7,"Um, I have to use, like, um… the cursor to draw it, and it's slightly, like… it's not… it's not as customizable, like, the pen options aren't that many."
Queena,interviewee,Queena,7,"And it's, like, all limited to probably, like, 3 options, and they have, like, very specific functions, like, for example, they… I don't know if you know the, um, streamline function, but they would, like, When you draw, you don't have, like, the full control over it."
Queena,interviewee,Queena,7,"They would, like, kind of curve you back to where your previous like drawing is, so it's kind of like that."
Queena,interviewee,Queena,7,"Um, I wish they have, um, I don't know, I haven't used it on iPad, but if they have an option to, like, draw stuff nicely on Canva, that would be nice."
Queena,interviewee,Queena,7,"It doesn't have to be, like, very elaborate."
Queena,interviewee,Queena,7,"It could be just, like, Um, just, it could be just, like, good notes."
Queena,interviewee,Queena,7,"Like, we're… we're the pen functions or something is slightly more customizable, but not to the extent of park rate."
Queena,interviewee,Queena,7,"But it then would be enough for me like, handwrite stuff, because, like, I feel like I'm able to draw, like, tiny little stars or tiny little outlines, but then it wouldn't be enough for me to write, like… happy, or something, like, without making them look very… like, obvious that I'm writing it with my trackpad."
Queena,interviewer,Frank,8,Okay.
Queena,interviewer,Frank,8,"Yeah, that makes sense."
Queena,interviewee,Queena,9,"And also, it's slightly limited in terms of, like, the pen functions, like, you can't change how it's tapered, like, towards the end, I think it's just, like, if you let go, then it's like a sharp ending instead of, like, around edges, which I know this is, like, so, like, minute, but, like, sometimes those stuff just… matters."
Queena,interviewer,Frank,10,Got it.
Queena,interviewer,Frank,10,"Do you think going to a professional setting when you're in college or looking for SARPs or whatever, and when you go to a professional setting once you graduate college, when you land a real job."
Queena,interviewer,Frank,10,Do you think he'll keep using Canva?
Queena,interviewee,Queena,11,"Okay, the thing about that is it's actually very dependent on the workspace, so I think it, like, from the perspective that I look at now, when I think about it, It would also be like, oh, it's my personal choice, and I can choose between the different workspace, but when… in the actual company, they would give you instructions to, like, use Figma, or use Photoshop, or use Canva."
Queena,interviewee,Queena,11,"And that's also because of the fact, if they have subscription for it, and then people can, whether they can collaborate on it."
Queena,interviewee,Queena,11,"So, I feel like, in terms of the industry, if… If the company itself is reluctant in changing, or, like, using that as a team, then you wouldn't be using it."
Queena,interviewee,Queena,11,"So it's less of a matter of personal choice, but more of, like, if the company operates on it or not."
Queena,interviewee,Queena,11,"And for… for… as for my experience so far in working at startup, they're very flexible."
Queena,interviewee,Queena,11,"And if you want to use Canva Pro, they would give you Canva Pro, like, they would give you a budget, and you can… they can work within that."
Queena,interviewee,Queena,11,"Um, but… for a more, like, I don't know, for more… bigger company or more established one, I think if they already have a system in place, It'd be hard to convince them to switch, unless for a compelling reason."
Queena,interviewer,Frank,12,Okay.
Queena,interviewee,Queena,13,And they usually wouldn't require you to work within the workspace.
Queena,interviewee,Queena,13,For purposes of collaborating and also consistency.
Queena,interviewer,Frank,14,Mm-hmm.
Queena,interviewer,Frank,14,"So, for the current university level of professionalism, Would you keep using Canva coming from high school curriculars to uni clubs?"
Queena,interviewee,Queena,15,"Okay, that's interesting."
Queena,interviewee,Queena,15,"Because the clubs that I'm in right now, it's more… okay, I'm in the Trojan news, which I'm part of the video editing team."
Queena,interviewee,Queena,15,"For video editing, I won't be using Canva, just because of how limiting it is."
Queena,interviewee,Queena,15,"And I'll be using… Uh, like, I think even iMovie would be better, honestly."
Queena,interviewee,Queena,15,"Um, so I would be using Final Cut, as usual."
Queena,interviewee,Queena,15,"And then for… Marketing purposes, um… I'm think… we haven't started actual marketing yet, because we've been doing branding for the past 2 months, but moving into that, I think I might be for posts, because of the fact that it's still very nice for… quick and easy, um… layouts."
Queena,interviewee,Queena,15,"Um, I think Figma, for me, for that, is just way too unnecessarily complicated."
Queena,interviewer,Frank,16,Right.
Queena,interviewer,Frank,16,Yeah.
Queena,interviewee,Queena,17,And I think Canva just has better layouts and better templates.
Queena,interviewee,Queena,17,"So I think for that, I would."
Queena,interviewee,Queena,17,"Um… But other… otherwise… and for YouTube thumbnails, I still would be using Canva, just because of just how ease of use it is for background removing."
Queena,interviewee,Queena,17,"That itself, like, it's solely, like… That kind of movie, like, that one feature sold me, because of just how incredibly good it is, but yeah."
Queena,interviewee,Queena,17,Um… Yeah.
Queena,interviewee,Queena,17,For other ones?
Queena,interviewee,Queena,17,"Nope, I don't know."
Queena,interviewer,Frank,18,Okay.
Queena,interviewer,Frank,18,What would you say your design service using percentage transitioning from highschool to university was like?
Queena,interviewee,Queena,19,"Okay, I think… Canva definitely peaked for me in probably grade 11."
Queena,interviewee,Queena,19,"Just because there were so many events, banners we have to make, and the fact that we had to make them in rapid successions, and, like, it's one after… So, Canva was so nice for us to make sure that, um, the kind of theme was on point, because we could just, like, you know, copy and paste it over into another template, and then maintain the font, maintain the color scheme, And we can transition from the PowerPoint to making a banner."
