interviewee,role,speaker,line_number,sentence,hf_label,hf_score,hf_compound
Liv,interviewee,Liv,11,"And I think that during the college prep process, I was in a lot of things where that was required.",neutral,0.8307062387466431,0.0
Liv,interviewee,Liv,11,"I was an event planner for a certain club and also for my PR company, I would use Canva.",neutral,0.8684447407722473,0.0
Liv,interviewee,Liv,11,I think I stopped using it because here a lot of my classes don't call for design or recruitment posters.,negative,0.6020649075508118,-0.20412981510162354
Liv,interviewer,Navaa,12,"And when you did use Canva, what were your biggest pain points with the platform?",neutral,0.48571494221687317,0.0
Liv,interviewee,Liv,13,I used it for I had my own poetry in an art magazine that was online.,neutral,0.8664178252220154,0.0
Liv,interviewee,Liv,13,And the entire thing was formatted through Canva.,neutral,0.8396667838096619,0.0
Liv,interviewee,Liv,13,"Um, I will say sometimes it was difficult mass formatting, like if a magazine is 20 pages versus one flyer.",negative,0.48717087507247925,0.025658249855041504
Liv,interviewee,Liv,13,It's harder to streamline a design on multiple pages.,neutral,0.5213556885719299,0.0
Liv,interviewee,Liv,13,"I think that, It's a little difficult, the layout of the website.",negative,0.6374858617782593,-0.27497172355651855
Liv,interviewee,Liv,13,"Like, it's not very user-friendly in the sense that all the tools are just like kind of weirdly laid out, and over time, you get familiar with it, but I'd say like a program, like the way Photoshop is designed, it's a lot easier to understand what certain things do immediately rather than playing with it and figuring it out.",negative,0.5794221758842468,-0.15884435176849365
Liv,interviewee,Liv,13,"Like, you immediately kind of know what the tools do.",neutral,0.75929856300354,0.0
Liv,interviewee,Liv,13,So it's a little harder in that way.,neutral,0.5066142678260803,0.0
Liv,interviewer,Navaa,14,"And did you find yourself, like, using alternative tools like Photoshop or the adobe ecosystem or like other things of that nature?",neutral,0.8828026652336121,0.0
Liv,interviewer,Luv,15,"Yeah, I think that Canva has a lot of limitations, like for that magazine, if I was having to alter a piece of art, I can't really do that in canva, so I would use Indesign.",negative,0.6123325228691101,-0.22466504573822021
Liv,interviewer,Luv,15,It's a lot more detail oriented.,positive,0.569135308265686,0.13827061653137207
Liv,interviewer,Luv,15,I don't think Canva is very detail oriented.,negative,0.6922768354415894,-0.3845536708831787
Liv,interviewer,Luv,15,It's very nice in the sense that it has all of these cutouts and fonts and preset designs and stuff.,positive,0.9613742828369141,0.9227485656738281
Liv,interviewer,Luv,15,"But if you really want to do that detailed work on a graphic itself, I think that calls for Indesign or Photoshop, if it's at a higher level.",neutral,0.6877405047416687,0.0
Liv,interviewer,Luv,15,It's not very professional.,negative,0.814897894859314,-0.6297957897186279
Liv,interviewer,Navaa,16,Got it.,neutral,0.6065152287483215,0.0
Liv,interviewer,Navaa,16,"Um, and were there any challenges or frustrations that made Canva less valuable for you specifically?",negative,0.6259517669677734,-0.2519035339355469
Liv,interviewee,Liv,17,"No, I just outgrew it a little bit.",neutral,0.7469208240509033,0.0
Liv,interviewee,Liv,17,"I do think it's very helpful when you're doing stuff for school or like for a club or maybe even just if you're making a flyer for a party or something, like that.",positive,0.7417012453079224,0.4834024906158447
Liv,interviewee,Liv,17,"But when you get to professional things, I think it calls for a more refined tool.",neutral,0.6960160136222839,0.0
Liv,interviewer,Navaa,18,"And for those more professional roles or maybe high-level roles that you might occupy now, have you started using any other tools that aren't Canva?",neutral,0.8895612359046936,0.0
