line_number,speaker,timestamp,text,interviewee,is_interviewee,is_interviewer,role
3,Navaa,,Would you say that you are a current user of Canva or that you don't tend to use it at all?,Liv,False,True,interviewer
4,Liv,,"I would say that over the summer I used Canva and now I have stopped because there hasn't been any projects that I've worked on, but if there was a project that called for it, I would use it.",Liv,True,False,interviewee
5,Navaa,,"Got it. So, can you tell me about when and why you first started using Canva and what you used it for? Um, I started using Canva probably in the 8th grade for mostly science classes for labs. Um, we would organize our lab data and everything in Canva. So that's how we would present it and that's how we would turn it in. And then also as I got older for English and history classes, when we needed to do a poster or a kind of slideshow base thing or make a graphic. We would use Canva also for clubs, for recruitment and events and stuff.",Liv,False,True,interviewer
6,Navaa,,"Okay, so it sounds like your school definitely had some version of like Canva for education subscription. Can you just like talk me through what specific plan your school had?",Liv,False,True,interviewer
7,Liv,,"Um, I'm not sure what specific one. I know that our email address allowed us to have like Canva, like a Canva premium, and also like Adobe, all the adobe tools, like Photoshop and stuff. Um, and like a bunch of other also film stuff, like Blender and other film editing tools. So we got like a lot of subscriptions to different things. It's probably a plan through the school where just every student, like they make an agreement with the company and every student gets access through that email until they graduate.",Liv,True,False,interviewee
8,Navaa,,"And when you say you submitted things from your science classes, like on Canva, was that partnering or like through some kind of like, like cross-platform collaboration with like a learning management platform, like Schoology, canvas, stuff like that? Or was it directly on the canva platform?",Liv,False,True,interviewer
9,Liv,,"Um, so I would share it with the teacher on the Canva platform, but I would also often submit it in Google Classroom or our black bod program, which had like a lot of our assignments, but yeah, and then when I was working on it with other people, we would work on it in Canada and I would share it with them by email. So it'd be through Google.",Liv,True,False,interviewee
10,Navaa,,"When did you stop using Canva, and what changed that led you to stop using Canva, or use it less often?",Liv,False,True,interviewer
11,Liv,,"I'd say that the most helpful thing about Canva is making it very easy to make graphics and like flyers and stuff like that. And I think that during the college prep process, I was in a lot of things where that was required. I was an event planner for a certain club and also for my PR company, I would use Canva. I think I stopped using it because here a lot of my classes don't call for design or recruitment posters.",Liv,True,False,interviewee
12,Navaa,,"And when you did use Canva, what were your biggest pain points with the platform?",Liv,False,True,interviewer
13,Liv,,"I used it for I had my own poetry in an art magazine that was online. And the entire thing was formatted through Canva. Um, I will say sometimes it was difficult mass formatting, like if a magazine is 20 pages versus one flyer. It's harder to streamline a design on multiple pages. I think that, It's a little difficult, the layout of the website. Like, it's not very user-friendly in the sense that all the tools are just like kind of weirdly laid out, and over time, you get familiar with it, but I'd say like a program, like the way Photoshop is designed, it's a lot easier to understand what certain things do immediately rather than playing with it and figuring it out. Like, you immediately kind of know what the tools do. So it's a little harder in that way.",Liv,True,False,interviewee
14,Navaa,,"And did you find yourself, like, using alternative tools like Photoshop or the adobe ecosystem or like other things of that nature?",Liv,False,True,interviewer
15,Luv,,"Yeah, I think that Canva has a lot of limitations, like for that magazine, if I was having to alter a piece of art, I can't really do that in canva, so I would use Indesign. It's a lot more detail oriented. I don't think Canva is very detail oriented. It's very nice in the sense that it has all of these cutouts and fonts and preset designs and stuff. But if you really want to do that detailed work on a graphic itself, I think that calls for Indesign or Photoshop, if it's at a higher level. It's not very professional.",Liv,False,True,interviewer
16,Navaa,,"Got it. Um, and were there any challenges or frustrations that made Canva less valuable for you specifically?",Liv,False,True,interviewer
17,Liv,,"No, I just outgrew it a little bit. I do think it's very helpful when you're doing stuff for school or like for a club or maybe even just if you're making a flyer for a party or something, like that. But when you get to professional things, I think it calls for a more refined tool.",Liv,True,False,interviewee
18,Navaa,,"And for those more professional roles or maybe high-level roles that you might occupy now, have you started using any other tools that aren't Canva? And if yes, what do they offer for those specific needs that you might have now that Canva didn't?",Liv,False,True,interviewer
19,Liv,,"As of now, I just think the AI editing things and editing softwares and apps are pretty interesting, and I might turn to that before I use Canva. I mean, now I don't really have any design responsibilities, but I think that if I do get a design responsibility, I'm going to use like a Photoshop. And then, you know, maybe check out AI before I go back to Canva, but if it's just making a poster, then I would use Canva.",Liv,True,False,interviewee
20,Navaa,,"Got it, okay. And what would make you consider coming back to Canva, aside from like what you just listed?",Liv,False,True,interviewer
21,Liv,,"I think if it incorporated more AI, if it had an AI option, I think that'd be kind of cool. If there's not a preset that you like, you can even tell the AI, like, hey, I kind of want this kind of layout with this vibe and these components. Even though it has so many presets, if there's something you have specific that you're looking for, I think would be cool for it to be able to generate that. I think with the layout of the tools that if you hover over, like, I like that in Photoshop, it tells you what it does. I don't know if that's the thing in Canva. But what I do like about Canva, I will say, is when you put input a photo, it puts all of your photos that you've imported in one area. I wish that other apps had that. I don't really know if you can edit the photos in Canada. That might be a cool addition. There's not a ton of like alterations you can make to the actual things you're importing. And I think that that would be helpful.",Liv,True,False,interviewee
1,Queena,,"Um, that I… that I use quite a lot. So that… That's why I used Canva for the, um, text feature, but I wasn't really able to edit much. I think it might be because of the layering option, or I… it just felt, like, really laggy when I was using it.",Queena,True,False,interviewee
2,Frank,,"Oh, for video editing?",Queena,False,True,interviewer
3,Queena,,"Yeah. Yeah, for video editing.",Queena,True,False,interviewee
4,Frank,,"Mmm, okay. Oh, okay. Cool.",Queena,False,True,interviewer
5,Queena,,"And… let me see, I don't think I could import a very long video and… make it background transparent, which was one of the downsides. Like, I wish they could allow me to upload, like, infinite amount of time, like… Final Cut Pro, they don't… they don't put a cap on how much time you import, like, the footage. So… but I don't know if it's because of the way they operate, if they put it into cloud, and it's too much storage for them, or something, but… Yeah, for our user's perspective, we don't really think that much. We're just like, oh, it's not allowing me to, I'm switching to another software.",Queena,True,False,interviewee
6,Frank,,"Yeah, exactly. Um, so… Just to get a better overview. What are some of the other apps or features as a designer, as a student, that you've used alongside Canva? or you think are similar to Canva, or you… like, think could replace Canva.",Queena,False,True,interviewer
7,Queena,,"Um, one of them, I would say, I actually… oh yeah, before I paid the subscription for… for the Canva, I would… I would go to about it this way. I would use my iPad to draw it myself. Like, I would reference the template that Canva has. Template is such a strong asset in Canva. Because of how professional it looks for some of them. And then I would just draw it, like, using the same shape, same color, and then I would draw it onto, like, um… That's like, what is it called? Let me see. I think Procreate. That's… that's what it's. Um, I feel like… Procreate is so nice if you want to, like, hand draw stuff, it's really nice. And also, yeah, I use Canva for thumbnail making for YouTube videos. And sometimes I want to add those, like, hand-drawn details to make it look a bit more, you know, handmade, personal. Um, I have to use, like, um… the cursor to draw it, and it's slightly, like… it's not… it's not as customizable, like, the pen options aren't that many. And it's, like, all limited to probably, like, 3 options, and they have, like, very specific functions, like, for example, they… I don't know if you know the, um, streamline function, but they would, like, When you draw, you don't have, like, the full control over it. They would, like, kind of curve you back to where your previous like drawing is, so it's kind of like that. Um, I wish they have, um, I don't know, I haven't used it on iPad, but if they have an option to, like, draw stuff nicely on Canva, that would be nice. It doesn't have to be, like, very elaborate. It could be just, like, Um, just, it could be just, like, good notes. Like, we're… we're the pen functions or something is slightly more customizable, but not to the extent of park rate. But it then would be enough for me like, handwrite stuff, because, like, I feel like I'm able to draw, like, tiny little stars or tiny little outlines, but then it wouldn't be enough for me to write, like… happy, or something, like, without making them look very… like, obvious that I'm writing it with my trackpad.",Queena,True,False,interviewee
8,Frank,,"Okay. Yeah, that makes sense.",Queena,False,True,interviewer
9,Queena,,"And also, it's slightly limited in terms of, like, the pen functions, like, you can't change how it's tapered, like, towards the end, I think it's just, like, if you let go, then it's like a sharp ending instead of, like, around edges, which I know this is, like, so, like, minute, but, like, sometimes those stuff just… matters.",Queena,True,False,interviewee
10,Frank,,"Got it. Do you think going to a professional setting when you're in college or looking for SARPs or whatever, and when you go to a professional setting once you graduate college, when you land a real job. Do you think he'll keep using Canva?",Queena,False,True,interviewer
11,Queena,,"Okay, the thing about that is it's actually very dependent on the workspace, so I think it, like, from the perspective that I look at now, when I think about it, It would also be like, oh, it's my personal choice, and I can choose between the different workspace, but when… in the actual company, they would give you instructions to, like, use Figma, or use Photoshop, or use Canva. And that's also because of the fact, if they have subscription for it, and then people can, whether they can collaborate on it. So, I feel like, in terms of the industry, if… If the company itself is reluctant in changing, or, like, using that as a team, then you wouldn't be using it. So it's less of a matter of personal choice, but more of, like, if the company operates on it or not. And for… for… as for my experience so far in working at startup, they're very flexible. And if you want to use Canva Pro, they would give you Canva Pro, like, they would give you a budget, and you can… they can work within that. Um, but… for a more, like, I don't know, for more… bigger company or more established one, I think if they already have a system in place, It'd be hard to convince them to switch, unless for a compelling reason.",Queena,True,False,interviewee
12,Frank,,Okay.,Queena,False,True,interviewer
13,Queena,,And they usually wouldn't require you to work within the workspace. For purposes of collaborating and also consistency.,Queena,True,False,interviewee
14,Frank,,"Mm-hmm. So, for the current university level of professionalism, Would you keep using Canva coming from high school curriculars to uni clubs?",Queena,False,True,interviewer
15,Queena,,"Okay, that's interesting. Because the clubs that I'm in right now, it's more… okay, I'm in the Trojan news, which I'm part of the video editing team. For video editing, I won't be using Canva, just because of how limiting it is. And I'll be using… Uh, like, I think even iMovie would be better, honestly. Um, so I would be using Final Cut, as usual. And then for… Marketing purposes, um… I'm think… we haven't started actual marketing yet, because we've been doing branding for the past 2 months, but moving into that, I think I might be for posts, because of the fact that it's still very nice for… quick and easy, um… layouts. Um, I think Figma, for me, for that, is just way too unnecessarily complicated.",Queena,True,False,interviewee
16,Frank,,Right. Yeah.,Queena,False,True,interviewer
17,Queena,,"And I think Canva just has better layouts and better templates. So I think for that, I would. Um… But other… otherwise… and for YouTube thumbnails, I still would be using Canva, just because of just how ease of use it is for background removing. That itself, like, it's solely, like… That kind of movie, like, that one feature sold me, because of just how incredibly good it is, but yeah. Um… Yeah. For other ones? Nope, I don't know.",Queena,True,False,interviewee
18,Frank,,Okay. What would you say your design service using percentage transitioning from highschool to university was like?,Queena,False,True,interviewer
19,Queena,,"Okay, I think… Canva definitely peaked for me in probably grade 11. Just because there were so many events, banners we have to make, and the fact that we had to make them in rapid successions, and, like, it's one after… So, Canva was so nice for us to make sure that, um, the kind of theme was on point, because we could just, like, you know, copy and paste it over into another template, and then maintain the font, maintain the color scheme, And we can transition from the PowerPoint to making a banner. So that's, like, the really nice option of that, and… Um, afterwards, I haven't been using it as much because I've been also… For us to, like, use Figma, for example, or to use other softwares, so it's, like, slightly declining. It used to be, like, 100% Canva. And then now it's slowly transitioning into, like, also having to learn other softwares.",Queena,True,False,interviewee
20,Frank,,"Okay, got it.",Queena,False,True,interviewer
21,Queena,,"Probably still, like, 60% Canva, because of just how… how… how, like, how much I've been using it in the past, and most of my past works has been on it.",Queena,True,False,interviewee
22,Queena,,"Oh yeah, and also one thing that's very confusing is you know how there's, like, workspace within Canva? And I can't transition it from one workspace to another. For example, if I've been using Mr. Kwong's workspace, and I've been having Hemet stuff in there, which is my company.",Queena,True,False,interviewee
23,Frank,,Mm-hmm.,Queena,False,True,interviewer
24,Queena,,"I've been using it there, um, and we have… now have a Hemo workspace. I can't really transition it into that. Like, or I don't know how to in an easy way. That's what's quite frustrating.",Queena,True,False,interviewee
25,Frank,,"Okay, I totally agree, that was one of the things that was frustrating for me as well transitioning to a Yale email account. Has that been a big issue for you?",Queena,False,True,interviewer
26,Queena,,"Yeah, it really has… I’ve been using my old LMS account for Canva for so long, and since its non-existent now, there’s almost 100 files on a non-existent account right now. And I don't want to lose them all, but, like, I have, like, no way to deal with it.",Queena,True,False,interviewee
27,Frank,,"Hmm. Okay, cool. Wait, so have you tried transitioning from one email account to another?",Queena,False,True,interviewer
28,Queena,,"I have, but I don't think it ever worked. I'm not sure why. I think I tried, like, probably 2 or 3 times by now, but… The last time I tried, I think it just made me, like, give up. So this is not happening.",Queena,True,False,interviewee
29,Frank,,"Ok, thank you so much for your time. That was a very long time. Um, I'll end the recording now, so this will be the end of our formal interview.",Queena,False,True,interviewer
1,Navaa,,"So if you can just tell us a bit about yourself, name, age, what you do, what like your hobbies are, how you use Canva, sure.",Jane,False,True,interviewer
2,Jane,,"Hi, my name is Jane. I'm a senior at UCLA, studying polysign econ in my free time, I like to do yoga. Shop go, you know, look at different cafes in LA with my friends, hang out with friends, watch movies.",Jane,True,False,interviewee
3,Navaa,,"So would you describe yourself as, like, a current user of Canva to like, in in this moment as a student?",Jane,False,True,interviewer
4,Jane,,"We do use Canva, we do have our premium accounts. I cannot access it, to be honest. We use all the time for group projects, like earlier today, I was doing a group project for one of my classes, and we used Canva for slideshows. I think we've had Canva premium, like, accessible to students for either two or three years. Now, I know it wasn't a thing my freshman year, but definitely my sophomore or junior year. Like, everyone used to  access Canva Pro, um, yeah, I think it's pretty good. Like, I use it quite a bit, but I think some people actually defer to Google Slides.",Jane,True,False,interviewee
5,Navaa,,"Yeah, that is kind of like a nice segue into the next question, which is, like, what's the biggest value that you would say Canva provides for you currently? And like, why do you use it? Why would you choose Canva for like, something specifically over like, Google Slides?",Jane,False,True,interviewer
6,Jane,,"Personally, I wouldn't choose it over Google Slides. I just think I know how to use Google, like the Google Cloud stuff, better than I know how to use other, secondary party stuff like Canva. But I guess if I were to use it, it would for it to be for, if I want to make an Instagram post for a club or something, or if I want to make a flyer for a club, or even if I want to do like a presentation or something, I think Canva offers a lot more like templates and stickers and to think make things more eye catching. I think that's why a lot of people like to use it.",Jane,True,False,interviewee
7,Navaa,,"Yeah, absolutely like aesthetic value. Yeah, yeah. And then what are some reasons that you would like stop using Canva and have you switched to another design tool before? And if yes, which one and why it's just like stuff you don't like about it?",Jane,False,True,interviewer
8,Jane,,"Actually, today, I was having a hard time trying to add a text box to Canva. So I think that's kind of confusing. I think like, you can add a text box, then if you click out of it, it clicks away, or something, it's kind of hard to find. I think, honestly, that's it. Like, I think it's pretty intuitive. Honestly, I think it's very similar to Google, Google Slides or Outlook slides or whatever they're called, but just the organization of everything. But I think besides Canva, I haven't really used other stuff, like for UCLA. I've used Adobe Acrobat while I was at work over the summer. I would use it because my firm had it, so I would use it and have my Canva Pro.",Jane,True,False,interviewee
9,Navaa,,"Um, and I guess this next question is, is very similar to the last one I just asked. But what do you find are your current pain points when using Canva? If there isn't anything, you don't have to answer it.",Jane,False,True,interviewer
10,Jane,,"Um, I think the pain points, I don't really have one, to be honest. I think it's  what I was thinking about the text boxes. But I think that's just like, I don't use Canva as much as other people do. So that's just a skill issue that I personally have.",Jane,True,False,interviewee
11,Navaa,,"I got you, if there's like, any like, like, logistical, like, account stuff as well that you've, like, run into?",Jane,False,True,interviewer
12,Jane,,"Well, I think like for us, you have Canva premium as a UCLA student, I just personally don't know how to access it and that's okay with me, because I don't really find the need to use it. Because it wasn't a thing my freshman year, I've never really switched over from, like, Google Docs or Google slides to Canva. And yeah, I don't really find the need to use Canva premium. So I don't really use it that much. I don't really, like, have a lot of skills or hardships with it, to be honest.",Jane,True,False,interviewee
13,Navaa,,I got you. And then what are some changes or improvements that you think Canva should make to fit your needs specifically better.,Jane,False,True,interviewer
14,Jane,,"I don't know. I honestly feel like Canva is a great, like, tool. It's just I haven't taken my own time to learn more about it. And that’s the main thing that, like, I don't really use Canva because I don't really see a need to most of the time, but I think like that, the fact that a lot of other people use Canva speaks to, you know, how it's grown and everything, and how it seems to be doing pretty well, and, like, suiting a lot of people's needs.",Jane,True,False,interviewee
15,Navaa,,"Yeah. And I guess one last question is, do you know a lot of people that are accessing Canva premium, and are using Canva pro at UCLA specifically? Or is it just that the people you interact with, the people you work with, are also the same, where they don't really feel the need to use it?",Jane,False,True,interviewer
16,Jane,,"I think a lot of people I know use Canva Pro. I think, if it's free at UCLA, then why not use it? I think is the main thing, but it's also, for example, UCLA gives you Microsoft Outlook for free. And I don't know how to use it either, and I think it depends like, how much you actively try to look for it. But I think a lot of people use it, like whoever I was working with on the Micro project today.",Jane,True,False,interviewee
1,Frank,,Do you mind if we disclose your demographic information? Your age and your gender?,Yoyo,False,True,interviewer
2,Yoyo,,"Yeah, sure, that's fine.",Yoyo,True,False,interviewee
3,Frank,,"Okay, great, thank you. Cool. Then, first question is, how long have you been using Canva for?",Yoyo,False,True,interviewer
4,Yoyo,,"Um, I've probably been using Canva for at least, like, 8 years since, like, grade 4.",Yoyo,True,False,interviewee
5,Frank,,"Did you ever have a premium account? Did you pay for them, or did you always… have you always used a free account?",Yoyo,False,True,interviewer
6,Yoyo,,"Um, I never paid for it, I just got a free premium account from my high school, yeah.",Yoyo,True,False,interviewee
