interviewee,role,speaker,line_number,sentence,vader_compound,vader_label,sentence_lower,mentions_canva,mentions_other_tool,professional_keywords,canva_prof_context
Lauren,interviewee,Lauren,4,"We've also used it for—during New Blue Rush—we used it for our info packets on the members and also for like just general information, like packets and flyers for Rush.",0.6124,positive,"we've also used it for—during new blue rush—we used it for our info packets on the members and also for like just general information, like packets and flyers for rush.",False,False,False,False
Lauren,interviewee,Lauren,4,"I'm trying to think of… I have used it for class, for presentations.",0.0,neutral,"i'm trying to think of… i have used it for class, for presentations.",False,False,False,False
Lauren,interviewee,Lauren,4,I think that's it.,0.0,neutral,i think that's it.,False,False,False,False
Lauren,interviewer,D,5,Awesome.,0.6249,positive,awesome.,False,False,False,False
Lauren,interviewer,D,5,"Okay, do you have Canva Pro by any chance?",0.4404,positive,"okay, do you have canva pro by any chance?",True,False,False,False
Lauren,interviewee,Lauren,6,I do not.,0.0,neutral,i do not.,False,False,False,False
Lauren,interviewee,Lauren,6,I don't think?,0.0,neutral,i don't think?,False,False,False,False
Lauren,interviewee,Lauren,6,I know—um.,0.0,neutral,i know—um.,False,False,False,False
Lauren,interviewer,D,7,"And then, are you aware that Yale partners with Canva for a platform called Canva Campus where students get free Pro features?",0.5106,positive,"and then, are you aware that yale partners with canva for a platform called canva campus where students get free pro features?",True,False,False,False
Lauren,interviewee,Lauren,8,I did not know that.,0.0,neutral,i did not know that.,False,False,False,False
Lauren,interviewee,Lauren,8,No.,-0.296,negative,no.,False,False,False,False
Lauren,interviewer,D,9,"Are you aware of Canva’s education, um, specifically education features or plans?",0.0,neutral,"are you aware of canva’s education, um, specifically education features or plans?",True,False,False,False
Lauren,interviewee,Lauren,10,No.,-0.296,negative,no.,False,False,False,False
Lauren,interviewer,D,11,"Um, great.",0.6249,positive,"um, great.",False,False,False,False
Lauren,interviewer,D,11,Okay.,0.2263,positive,okay.,False,False,False,False
Lauren,interviewer,D,11,"Um, so what is the biggest value Canva provides for you currently?",0.34,positive,"um, so what is the biggest value canva provides for you currently?",True,False,False,False
Lauren,interviewer,D,11,Why do you use Canva?,0.0,neutral,why do you use canva?,True,False,False,False
Lauren,interviewee,Lauren,12,Um.,0.0,neutral,um.,False,False,False,False
Lauren,interviewee,Lauren,12,"I guess it's just, like, easier to make flyers on it than it is on other websites.",0.6486,positive,"i guess it's just, like, easier to make flyers on it than it is on other websites.",False,False,False,False
Lauren,interviewee,Lauren,12,The designs are like pre-made.,0.3612,positive,the designs are like pre-made.,False,False,False,False
Lauren,interviewee,Lauren,12,There's no need to like really download them.,0.0772,positive,there's no need to like really download them.,False,False,False,False
Lauren,interviewee,Lauren,12,You just kind of edit them yourself.,0.0,neutral,you just kind of edit them yourself.,False,False,False,False
Lauren,interviewee,Lauren,12,"Also, it's just like, um, it was easy to share the site and like to share the flyers and like edit at the same time during Rush, which was necessary.",0.9153,positive,"also, it's just like, um, it was easy to share the site and like to share the flyers and like edit at the same time during rush, which was necessary.",False,False,False,False
Lauren,interviewee,Lauren,12,Um.,0.0,neutral,um.,False,False,False,False
Lauren,interviewee,Lauren,12,"Yeah, I think also it's just, like, a matter of ease, 'cause like, you could make presentations and flyers on Google Slides, but um, usually those are like—you have to download a template and then put it in—whereas Canva has all of those kind of pre-made, which I think is nice.",0.8225,positive,"yeah, i think also it's just, like, a matter of ease, 'cause like, you could make presentations and flyers on google slides, but um, usually those are like—you have to download a template and then put it in—whereas canva has all of those kind of pre-made, which i think is nice.",True,False,False,False
Lauren,interviewer,D,13,Great.,0.6249,positive,great.,False,False,False,False
Lauren,interviewer,D,13,"And then on the flip side, what are some reasons why maybe you would stop using Canva?",-0.296,negative,"and then on the flip side, what are some reasons why maybe you would stop using canva?",True,False,False,False
Lauren,interviewer,D,13,Have you switched to other design tools before?,0.0,neutral,have you switched to other design tools before?,False,False,False,False
Lauren,interviewer,D,13,"If yes, which ones and why?",0.4019,positive,"if yes, which ones and why?",False,False,False,False
Lauren,interviewee,Lauren,14,"I don't think I have, but I guess like the only reason I would stop using it is because I would no longer need it.",-0.3291,negative,"i don't think i have, but i guess like the only reason i would stop using it is because i would no longer need it.",False,False,False,False
Lauren,interviewee,Lauren,14,"Like, um… I don't have any—like, I wouldn't… If there was like a thing I had to design, I would probably just like immediately go to Canva to do it.",0.7579,positive,"like, um… i don't have any—like, i wouldn't… if there was like a thing i had to design, i would probably just like immediately go to canva to do it.",True,False,False,False
Lauren,interviewee,Lauren,14,The only reason I would see myself like stopping using it for like the things I've been using it for is like just because I won't need to use it.,0.7096,positive,the only reason i would see myself like stopping using it for like the things i've been using it for is like just because i won't need to use it.,False,False,False,False
Lauren,interviewer,D,15,Okay.,0.2263,positive,okay.,False,False,False,False
Lauren,interviewer,D,15,"And then along that same line, what do you find are some of your current pain points when using the Canva platform?",-0.5106,negative,"and then along that same line, what do you find are some of your current pain points when using the canva platform?",True,False,False,False
Lauren,interviewee,Lauren,16,Um… hmm.,0.0,neutral,um… hmm.,False,False,False,False
Lauren,interviewee,Lauren,16,I think sometimes like editing it can be a little finicky.,0.3612,positive,i think sometimes like editing it can be a little finicky.,False,False,False,False
Lauren,interviewee,Lauren,16,"Like, like it's not always easy to edit sometimes—like editing certain things.",0.571,positive,"like, like it's not always easy to edit sometimes—like editing certain things.",False,False,False,False
Lauren,interviewee,Lauren,16,"Like, or the fact that you need Pro to do other things when you don't have it, which is like, I guess, on me for not getting it, but I don't want to buy it.",0.2885,positive,"like, or the fact that you need pro to do other things when you don't have it, which is like, i guess, on me for not getting it, but i don't want to buy it.",False,False,False,False
Lauren,interviewee,Lauren,16,"And at least at the beginning, it was a learning curve to share it and like figure out where to locate shared documents or shared flyers when we were like collaborating on documents together.",0.875,positive,"and at least at the beginning, it was a learning curve to share it and like figure out where to locate shared documents or shared flyers when we were like collaborating on documents together.",False,False,False,False
Lauren,interviewer,D,17,I see.,0.0,neutral,i see.,False,False,False,False
Lauren,interviewer,D,17,So what are some changes or improvements that you think Canva could make to fit your needs better?,0.7717,positive,so what are some changes or improvements that you think canva could make to fit your needs better?,True,False,False,False
Lauren,interviewee,Lauren,18,I mean like… I can't think of any off the top of my head that aren't like fixable just by me myself.,-0.0798,negative,i mean like… i can't think of any off the top of my head that aren't like fixable just by me myself.,False,False,False,False
Lauren,interviewee,Lauren,18,"Like, like the sharing thing, it was like—I guess like just maybe organizationally making that easier to find on the homepage.",0.9022,positive,"like, like the sharing thing, it was like—i guess like just maybe organizationally making that easier to find on the homepage.",False,False,False,False
Lauren,interviewee,Lauren,18,But otherwise it's like literally just me not wanting to get Pro.,0.5023,positive,but otherwise it's like literally just me not wanting to get pro.,False,False,False,False
Lauren,interviewee,Lauren,18,And so… yeah.,0.296,positive,and so… yeah.,False,False,False,False
Lauren,interviewer,D,19,Great.,0.6249,positive,great.,False,False,False,False
Lauren,interviewer,D,19,Okay.,0.2263,positive,okay.,False,False,False,False
Lauren,interviewer,D,19,"Um, and then you're a college student now, but have you used Canva in other educational periods of your life and has your interaction and engagement with Canva changed at all?",0.6124,positive,"um, and then you're a college student now, but have you used canva in other educational periods of your life and has your interaction and engagement with canva changed at all?",True,False,False,False
Lauren,interviewee,Lauren,20,"Um, yes, I have.",0.4019,positive,"um, yes, i have.",False,False,False,False
Lauren,interviewee,Lauren,20,I used it in high school for similar purposes.,0.0,neutral,i used it in high school for similar purposes.,False,False,False,False
Lauren,interviewee,Lauren,20,"Even outside of school, I was part of a committee that was doing like organizing donations, so I used it for that, like flyers and presentations.",0.6124,positive,"even outside of school, i was part of a committee that was doing like organizing donations, so i used it for that, like flyers and presentations.",False,False,False,False
Lauren,interviewee,Lauren,20,"I've used it for both of those before, outside of college.",0.0,neutral,"i've used it for both of those before, outside of college.",False,False,False,False
Lauren,interviewee,Lauren,20,But it hasn't really like—I don't think the way I've interacted with it has changed much.,0.0,neutral,but it hasn't really like—i don't think the way i've interacted with it has changed much.,False,False,False,False
Lauren,interviewer,D,21,"Okay, cool.",0.4939,positive,"okay, cool.",False,False,False,False
Lauren,interviewer,D,21,"Um, are there any other kind of qualms you have, or maybe good things about Canva that you want to point out, or anything that you want to touch on that I haven't asked you about?",0.5423,positive,"um, are there any other kind of qualms you have, or maybe good things about canva that you want to point out, or anything that you want to touch on that i haven't asked you about?",True,False,False,False
Lauren,interviewee,Lauren,22,No.,-0.296,negative,no.,False,False,False,False
Lauren,interviewer,D,23,"Okay, great.",0.7184,positive,"okay, great.",False,False,False,False
Lauren,interviewer,D,23,"Thank you so much, Lauren.",0.3612,positive,"thank you so much, lauren.",False,False,False,False
Erin,interviewer,Danielle,1,"Okay, tell us a bit about yourself.",0.2263,positive,"okay, tell us a bit about yourself.",False,False,False,False
Erin,interviewee,Erin,2,"Yeah, I'm Erin.",0.296,positive,"yeah, i'm erin.",False,False,False,False
Erin,interviewee,Erin,2,I am 22 years old.,0.0,neutral,i am 22 years old.,False,False,False,False
Erin,interviewee,Erin,2,"I just recently graduated from college, and right now I'm currently working as a research assistant and I'm also studying for an entrance exam for grad school.",0.0,neutral,"i just recently graduated from college, and right now i'm currently working as a research assistant and i'm also studying for an entrance exam for grad school.",False,False,False,False
Erin,interviewer,Danielle,3,Do you currently use Canva?,0.0,neutral,do you currently use canva?,True,False,False,False
Erin,interviewee,Erin,4,"I'm currently not using Canva, but I have used it in the past.",0.0,neutral,"i'm currently not using canva, but i have used it in the past.",True,False,False,False
Erin,interviewer,Danielle,5,"And when you did use Canva, did you ever use the pro plan?",0.0,neutral,"and when you did use canva, did you ever use the pro plan?",True,False,False,False
Erin,interviewee,Erin,6,"I did not, no.",0.2235,positive,"i did not, no.",False,False,False,False
Erin,interviewer,Danielle,7,"So, can you tell me about when and why you first started using Canva and what you mainly used it for?",0.0,neutral,"so, can you tell me about when and why you first started using canva and what you mainly used it for?",True,False,False,False
Erin,interviewee,Erin,8,"Yeah, I think I mainly started using Canva in college, and it was mostly to create flyers for club events and things of that sort.",0.5106,positive,"yeah, i think i mainly started using canva in college, and it was mostly to create flyers for club events and things of that sort.",True,False,False,False
Erin,interviewee,Erin,8,"I also remember using Canva because they had presentation templates as well, so I used Canva for some projects.",0.2732,positive,"i also remember using canva because they had presentation templates as well, so i used canva for some projects.",True,False,False,False
Erin,interviewer,Danielle,9,"And when did you stop using Canva, and what changed that led you to stop using it or use it less often?",-0.5267,negative,"and when did you stop using canva, and what changed that led you to stop using it or use it less often?",True,False,False,False
Erin,interviewee,Erin,10,"I stopped using Canva because I graduated from school, and so there's not really a need for me to be creating flyers or club materials anymore since I'm no longer involved with those organizations.",-0.2263,negative,"i stopped using canva because i graduated from school, and so there's not really a need for me to be creating flyers or club materials anymore since i'm no longer involved with those organizations.",True,False,False,False
Erin,interviewer,Danielle,11,"When you were using Canva in college, were you aware of the Canva Education platform and its features, as well as Canva for Campus and the partnerships with universities across the U.S.?",0.2732,positive,"when you were using canva in college, were you aware of the canva education platform and its features, as well as canva for campus and the partnerships with universities across the u.s.?",True,False,False,False
Erin,interviewee,Erin,12,"I have not heard of those plans, no.",-0.296,negative,"i have not heard of those plans, no.",False,False,False,False
Erin,interviewer,Danielle,13,Were there any particular challenges or frustrations that made Canva harder to use or less valuable for you?,0.0276,neutral,were there any particular challenges or frustrations that made canva harder to use or less valuable for you?,True,False,False,False
Erin,interviewee,Erin,14,I didn't find Canva to be particularly challenging to use.,0.2247,positive,i didn't find canva to be particularly challenging to use.,True,False,False,False
Erin,interviewee,Erin,14,I found the usability of the website to be very easy and suited my needs when I needed to create a graphic quickly.,0.6478,positive,i found the usability of the website to be very easy and suited my needs when i needed to create a graphic quickly.,False,False,False,False
Erin,interviewer,Danielle,15,"But if you were to point out any pain points, what would you bring up?",-0.6652,negative,"but if you were to point out any pain points, what would you bring up?",False,False,False,False
Erin,interviewee,Erin,16,I think one of the pain points was when I was looking for certain graphics or icons.,-0.296,negative,i think one of the pain points was when i was looking for certain graphics or icons.,False,False,False,False
Erin,interviewee,Erin,16,You weren’t able to sort between the Pro icons and the free plan.,0.5106,positive,you weren’t able to sort between the pro icons and the free plan.,False,False,False,False
Erin,interviewee,Erin,16,"So if there was a way to filter between those two for icons, that would be helpful when looking for graphics I could actually use.",0.4215,positive,"so if there was a way to filter between those two for icons, that would be helpful when looking for graphics i could actually use.",False,False,False,False
Erin,interviewer,Danielle,17,And have you started using any other tools instead of Canva now that you’ve dropped off the platform?,0.0,neutral,and have you started using any other tools instead of canva now that you’ve dropped off the platform?,True,False,False,False
Erin,interviewer,Danielle,17,"If yes, what do they offer that Canva didn’t?",0.4019,positive,"if yes, what do they offer that canva didn’t?",True,False,False,False
Erin,interviewee,Erin,18,I'm not using any graphic-making websites at the moment.,0.0,neutral,i'm not using any graphic-making websites at the moment.,False,False,False,False
Erin,interviewer,Danielle,19,"It could also be digital materials in general—presentations, resume-building websites, any platform.",0.0,neutral,"it could also be digital materials in general—presentations, resume-building websites, any platform.",False,False,False,False
Erin,interviewee,Erin,20,"For my resume, I typically just use Word or Google Docs.",0.0,neutral,"for my resume, i typically just use word or google docs.",False,False,False,False
Erin,interviewee,Erin,20,"I don’t need to be designing or adding icons, so there’s not a need for a site like Canva for that.",0.3612,positive,"i don’t need to be designing or adding icons, so there’s not a need for a site like canva for that.",True,False,False,False
Erin,interviewee,Erin,20,"As for presentations or projects, I haven't had to make anything that warrants a website like Canva.",0.3612,positive,"as for presentations or projects, i haven't had to make anything that warrants a website like canva.",True,False,False,False
Erin,interviewee,Erin,20,"If I need to create a presentation, I typically use PowerPoint or Google Slides.",0.2732,positive,"if i need to create a presentation, i typically use powerpoint or google slides.",False,False,False,False
Erin,interviewer,Danielle,21,And can you articulate why you fall back on those platforms now that you're out of college?,0.0,neutral,and can you articulate why you fall back on those platforms now that you're out of college?,False,False,False,False
Erin,interviewee,Erin,22,I think it's mostly because it's built into what I typically use.,0.0,neutral,i think it's mostly because it's built into what i typically use.,False,False,False,False
Erin,interviewee,Erin,22,I’m very comfortable with Google Drive because I've used it throughout my education.,0.5563,positive,i’m very comfortable with google drive because i've used it throughout my education.,False,False,False,False
Erin,interviewee,Erin,22,"In college, we used Microsoft applications like Word, PowerPoint, and OneDrive, so I’m comfortable with those.",0.7251,positive,"in college, we used microsoft applications like word, powerpoint, and onedrive, so i’m comfortable with those.",False,False,False,False
Erin,interviewee,Erin,22,"Also, the people I work with on my research project use those applications too, so it's easy to collaborate since everyone already has institutional access.",0.4902,positive,"also, the people i work with on my research project use those applications too, so it's easy to collaborate since everyone already has institutional access.",False,False,False,False
Erin,interviewer,Danielle,23,Cool.,0.3182,positive,cool.,False,False,False,False
Erin,interviewer,Danielle,23,So what university did you graduate from?,0.0,neutral,so what university did you graduate from?,False,False,False,False
Erin,interviewee,Erin,24,I graduated from Emory.,0.0,neutral,i graduated from emory.,False,False,False,False
Erin,interviewer,Danielle,25,"And Emory is a Canva for Campus partner, I believe.",0.0,neutral,"and emory is a canva for campus partner, i believe.",True,False,False,False
Erin,interviewer,Danielle,25,"Did you ever hear of any of your peers, professors, or clubs utilizing Canva for Campus?",0.0,neutral,"did you ever hear of any of your peers, professors, or clubs utilizing canva for campus?",True,False,False,False
Erin,interviewee,Erin,26,"I know that a few organizations used an upper level of Canva, but I'm not sure if that was directly related to the Canva for Campus plan.",-0.3491,negative,"i know that a few organizations used an upper level of canva, but i'm not sure if that was directly related to the canva for campus plan.",True,False,False,False
Erin,interviewer,Danielle,27,What would convince you to come back to using Canva in the future?,0.25,positive,what would convince you to come back to using canva in the future?,True,False,False,False
Erin,interviewer,Danielle,27,"Or why might you come back, if you foresee it happening?",0.0,neutral,"or why might you come back, if you foresee it happening?",False,False,False,False
Erin,interviewee,Erin,28,"Right now there’s just not a need for me to use an application like Canva, because I’m not creating high-level graphics or documents that require design elements like icons or photographs.",0.4788,positive,"right now there’s just not a need for me to use an application like canva, because i’m not creating high-level graphics or documents that require design elements like icons or photographs.",True,False,False,False
Erin,interviewee,Erin,28,"If I ever needed something that required more design, I might return to Canva.",0.0,neutral,"if i ever needed something that required more design, i might return to canva.",True,False,False,False
Erin,interviewer,Danielle,29,Great.,0.6249,positive,great.,False,False,False,False
Erin,interviewer,Danielle,29,"Is there anything else you'd like to touch on in terms of difficulties you find, or about the transition from college to newly graduated life?",0.0772,positive,"is there anything else you'd like to touch on in terms of difficulties you find, or about the transition from college to newly graduated life?",False,False,False,False
Erin,interviewee,Erin,30,"Not particularly, no.",0.2743,positive,"not particularly, no.",False,False,False,False
Erin,interviewer,Danielle,31,"Okay, great.",0.7184,positive,"okay, great.",False,False,False,False
Erin,interviewer,Danielle,31,Thanks.,0.4404,positive,thanks.,False,False,False,False
Liv,interviewer,Navaa,1,"So, first tell us a bit about yourself.",0.0,neutral,"so, first tell us a bit about yourself.",False,False,False,False
Liv,interviewer,Navaa,1,"Name, age, job.",0.0,neutral,"name, age, job.",False,False,False,False
Liv,interviewer,Navaa,1,What do you do with your with your time?,0.0,neutral,what do you do with your with your time?,False,False,False,False
Liv,interviewee,Liv,2,My name's Liv Amiri.,0.0,neutral,my name's liv amiri.,False,False,False,False
Liv,interviewee,Liv,2,I'm 19 years old.,0.0,neutral,i'm 19 years old.,False,False,False,False
Liv,interviewee,Liv,2,"Oh, it's my birthday, actually.",0.0,neutral,"oh, it's my birthday, actually.",False,False,False,False
Liv,interviewee,Liv,2,"Right now, I'm unemployed.",0.0,neutral,"right now, i'm unemployed.",False,False,False,False
Liv,interviewee,Liv,2,I am a student.,0.0,neutral,i am a student.,False,False,False,False
Liv,interviewee,Liv,2,"Previously, I've been employed for a PR company, and I've also worked as a museum docent.",0.0,neutral,"previously, i've been employed for a pr company, and i've also worked as a museum docent.",False,False,False,False
Liv,interviewee,Liv,2,"Um, I currently am a freshman at Yale University and I do a lot of humanities stuff.",0.0,neutral,"um, i currently am a freshman at yale university and i do a lot of humanities stuff.",False,False,False,False
Liv,interviewer,Navaa,3,Would you say that you are a current user of Canva or that you don't tend to use it at all?,0.0,neutral,would you say that you are a current user of canva or that you don't tend to use it at all?,True,False,False,False
Liv,interviewee,Liv,4,"I would say that over the summer I used Canva and now I have stopped because there hasn't been any projects that I've worked on, but if there was a project that called for it, I would use it.",-0.1154,negative,"i would say that over the summer i used canva and now i have stopped because there hasn't been any projects that i've worked on, but if there was a project that called for it, i would use it.",True,False,False,False
Liv,interviewer,Navaa,5,Got it.,0.0,neutral,got it.,False,False,False,False
Liv,interviewer,Navaa,5,"So, can you tell me about when and why you first started using Canva and what you used it for?",0.0,neutral,"so, can you tell me about when and why you first started using canva and what you used it for?",True,False,False,False
Liv,interviewer,Navaa,5,"Um, I started using Canva probably in the 8th grade for mostly science classes for labs.",0.0,neutral,"um, i started using canva probably in the 8th grade for mostly science classes for labs.",True,False,False,False
Liv,interviewer,Navaa,5,"Um, we would organize our lab data and everything in Canva.",0.0,neutral,"um, we would organize our lab data and everything in canva.",True,False,False,False
Liv,interviewer,Navaa,5,So that's how we would present it and that's how we would turn it in.,0.0,neutral,so that's how we would present it and that's how we would turn it in.,False,False,False,False
Liv,interviewer,Navaa,5,"And then also as I got older for English and history classes, when we needed to do a poster or a kind of slideshow base thing or make a graphic.",0.0,neutral,"and then also as i got older for english and history classes, when we needed to do a poster or a kind of slideshow base thing or make a graphic.",False,False,False,False
Liv,interviewer,Navaa,5,"We would use Canva also for clubs, for recruitment and events and stuff.",0.0,neutral,"we would use canva also for clubs, for recruitment and events and stuff.",True,False,False,False
Liv,interviewer,Navaa,6,"Okay, so it sounds like your school definitely had some version of like Canva for education subscription.",0.8453,positive,"okay, so it sounds like your school definitely had some version of like canva for education subscription.",True,False,False,False
Liv,interviewer,Navaa,6,Can you just like talk me through what specific plan your school had?,0.3612,positive,can you just like talk me through what specific plan your school had?,False,False,False,False
Liv,interviewee,Liv,7,"Um, I'm not sure what specific one.",-0.2411,negative,"um, i'm not sure what specific one.",False,False,False,False
Liv,interviewee,Liv,7,"I know that our email address allowed us to have like Canva, like a Canva premium, and also like Adobe, all the adobe tools, like Photoshop and stuff.",0.8402,positive,"i know that our email address allowed us to have like canva, like a canva premium, and also like adobe, all the adobe tools, like photoshop and stuff.",True,True,False,False
Liv,interviewee,Liv,7,"Um, and like a bunch of other also film stuff, like Blender and other film editing tools.",0.6124,positive,"um, and like a bunch of other also film stuff, like blender and other film editing tools.",False,False,False,False
Liv,interviewee,Liv,7,So we got like a lot of subscriptions to different things.,0.4144,positive,so we got like a lot of subscriptions to different things.,False,False,False,False
Liv,interviewee,Liv,7,"It's probably a plan through the school where just every student, like they make an agreement with the company and every student gets access through that email until they graduate.",0.6908,positive,"it's probably a plan through the school where just every student, like they make an agreement with the company and every student gets access through that email until they graduate.",False,False,False,False
Liv,interviewer,Navaa,8,"And when you say you submitted things from your science classes, like on Canva, was that partnering or like through some kind of like, like cross-platform collaboration with like a learning management platform, like Schoology, canvas, stuff like that?",0.9382,positive,"and when you say you submitted things from your science classes, like on canva, was that partnering or like through some kind of like, like cross-platform collaboration with like a learning management platform, like schoology, canvas, stuff like that?",True,False,False,False
Liv,interviewer,Navaa,8,Or was it directly on the canva platform?,0.0,neutral,or was it directly on the canva platform?,True,False,False,False
Liv,interviewee,Liv,9,"Um, so I would share it with the teacher on the Canva platform, but I would also often submit it in Google Classroom or our black bod program, which had like a lot of our assignments, but yeah, and then when I was working on it with other people, we would work on it in Canada and I would share it with them by email.",0.8752,positive,"um, so i would share it with the teacher on the canva platform, but i would also often submit it in google classroom or our black bod program, which had like a lot of our assignments, but yeah, and then when i was working on it with other people, we would work on it in canada and i would share it with them by email.",True,False,False,False
Liv,interviewee,Liv,9,So it'd be through Google.,0.0,neutral,so it'd be through google.,False,False,False,False
Liv,interviewer,Navaa,10,"When did you stop using Canva, and what changed that led you to stop using Canva, or use it less often?",-0.5267,negative,"when did you stop using canva, and what changed that led you to stop using canva, or use it less often?",True,False,False,False
Liv,interviewee,Liv,11,I'd say that the most helpful thing about Canva is making it very easy to make graphics and like flyers and stuff like that.,0.883,positive,i'd say that the most helpful thing about canva is making it very easy to make graphics and like flyers and stuff like that.,True,False,False,False
Liv,interviewee,Liv,11,"And I think that during the college prep process, I was in a lot of things where that was required.",0.0,neutral,"and i think that during the college prep process, i was in a lot of things where that was required.",False,False,False,False
Liv,interviewee,Liv,11,"I was an event planner for a certain club and also for my PR company, I would use Canva.",0.2732,positive,"i was an event planner for a certain club and also for my pr company, i would use canva.",True,False,False,False
Liv,interviewee,Liv,11,I think I stopped using it because here a lot of my classes don't call for design or recruitment posters.,-0.2263,negative,i think i stopped using it because here a lot of my classes don't call for design or recruitment posters.,False,False,False,False
Liv,interviewer,Navaa,12,"And when you did use Canva, what were your biggest pain points with the platform?",-0.5106,negative,"and when you did use canva, what were your biggest pain points with the platform?",True,False,False,False
Liv,interviewee,Liv,13,I used it for I had my own poetry in an art magazine that was online.,0.0,neutral,i used it for i had my own poetry in an art magazine that was online.,False,False,False,False
Liv,interviewee,Liv,13,And the entire thing was formatted through Canva.,0.0,neutral,and the entire thing was formatted through canva.,True,False,False,False
Liv,interviewee,Liv,13,"Um, I will say sometimes it was difficult mass formatting, like if a magazine is 20 pages versus one flyer.",0.0,neutral,"um, i will say sometimes it was difficult mass formatting, like if a magazine is 20 pages versus one flyer.",False,False,False,False
Liv,interviewee,Liv,13,It's harder to streamline a design on multiple pages.,0.0,neutral,it's harder to streamline a design on multiple pages.,False,False,False,False
Liv,interviewee,Liv,13,"I think that, It's a little difficult, the layout of the website.",-0.2975,negative,"i think that, it's a little difficult, the layout of the website.",False,False,False,False
Liv,interviewee,Liv,13,"Like, it's not very user-friendly in the sense that all the tools are just like kind of weirdly laid out, and over time, you get familiar with it, but I'd say like a program, like the way Photoshop is designed, it's a lot easier to understand what certain things do immediately rather than playing with it and figuring it out.",0.9428,positive,"like, it's not very user-friendly in the sense that all the tools are just like kind of weirdly laid out, and over time, you get familiar with it, but i'd say like a program, like the way photoshop is designed, it's a lot easier to understand what certain things do immediately rather than playing with it and figuring it out.",False,True,False,False
Liv,interviewee,Liv,13,"Like, you immediately kind of know what the tools do.",0.3612,positive,"like, you immediately kind of know what the tools do.",False,False,False,False
Liv,interviewee,Liv,13,So it's a little harder in that way.,0.0,neutral,so it's a little harder in that way.,False,False,False,False
Liv,interviewer,Navaa,14,"And did you find yourself, like, using alternative tools like Photoshop or the adobe ecosystem or like other things of that nature?",0.7579,positive,"and did you find yourself, like, using alternative tools like photoshop or the adobe ecosystem or like other things of that nature?",False,True,False,False
Liv,interviewer,Luv,15,"Yeah, I think that Canva has a lot of limitations, like for that magazine, if I was having to alter a piece of art, I can't really do that in canva, so I would use Indesign.",0.5719,positive,"yeah, i think that canva has a lot of limitations, like for that magazine, if i was having to alter a piece of art, i can't really do that in canva, so i would use indesign.",True,True,False,False
Liv,interviewer,Luv,15,It's a lot more detail oriented.,0.0,neutral,it's a lot more detail oriented.,False,False,False,False
Liv,interviewer,Luv,15,I don't think Canva is very detail oriented.,0.0,neutral,i don't think canva is very detail oriented.,True,False,False,False
Liv,interviewer,Luv,15,It's very nice in the sense that it has all of these cutouts and fonts and preset designs and stuff.,0.4754,positive,it's very nice in the sense that it has all of these cutouts and fonts and preset designs and stuff.,False,False,False,False
Liv,interviewer,Luv,15,"But if you really want to do that detailed work on a graphic itself, I think that calls for Indesign or Photoshop, if it's at a higher level.",0.2238,positive,"but if you really want to do that detailed work on a graphic itself, i think that calls for indesign or photoshop, if it's at a higher level.",False,True,False,False
Liv,interviewer,Luv,15,It's not very professional.,0.0,neutral,it's not very professional.,False,False,True,False
